ID,Text_ro,Text_rom,ro,rmy
,,,"Şi faptele firii pămînteşti sînt cunoscute, şi sînt acestea: preacurvia, curvia, necurăţia, desfrînarea,","Ai zhanas so mangel o stato, e kurvia, o bi vuzhimos, o gindo o chorho;"
,,,"V'am spus aceste lucruri ca să aveţi pace în Mine. În lume veţi avea necazuri; dar îndrăzniţi, Eu am biruit lumea.``","Me phendem tumenge kadala dieli, saxke te avel tume e pacha ande mande. Tume avena zumade ande lumia: numa na daran; ke me nirisardem pe lumia!"""
,,,"I-au dat să bea vin amestecat cu fiere; dar, cînd l -a gustat, n'a vrut să bea.","Dine les lolo shut hamime drabensa te pel, kana zumadias, ai haliardias so si, chi pelias."
,,,"Căci voi aţi murit, şi viaţa voastră este ascunsă cu Hristos în Dumnezeu.","Ke tume mule san, ai tumaro traio garado lo le Kristosa ando Del."
,,,Dragostea nu face rău aproapelui: dragostea deci este împlinirea Legii.,E dragostia chi kerel vov si nasulimos le vortakoske. Kana si amenge drago le kolaver kadia si kai keras sa o zakono.
,,,"Ce zice ea deci? ,Cuvîntul este aproape de tine: în gura ta şi în inima ta.` Şi cuvîntul acesta este cuvîntul credinţei, pe care -l propovăduim noi.","So mothol kacha? E vorba pashe tute la ande cho mui, ai ande cho ilo:"
,,,"Cei ce -L ascultau, au zis: ,,Atunci cine poate fi mîntuit?``","Le manush kai ashunenas leste phende, ""Apo, kon sai avela skepime?"""
,,,"Robilor, ascultaţi în toate lucrurile pe stăpînii voştri pămînteşti; nu numai cînd sînteţi supt ochii lor, ca cei ce caută să placă oamenilor, ci cu curăţie de inimă, ca unii cari vă temeţi de Domnul.","Tume le slugi, pachan o mui tumare gazdango ande soste godi katse pe phuv, na raduin tume te keren kadia ferdi kana len sama pe tumende, te plachan le, numa pachan o mui sa tumare ilesa, ke pala respektimos kai si tumen le Kristoske."
,,,"Eu sînt Pînea vie, care s'a pogorît din cer. Dacă mănîncă cineva din pînea aceasta, va trăi în veac; şi pînea, pe care o voi da Eu, este trupul Meu, pe care îl voi da pentru viaţa lumii.``","Me sim o manrho o zhuvindo kai hulisto anda rhaio. Te si vari kon kai xala anda kadia manrho, traiila sagda. Ai o manrho kai dava si murho stato, ai dava les te avel o traio la lumiako."""
,,,"Cînd L-au văzut ei umblînd pe mare, li s'a părut că este o nălucă, şi au ţipat;","Kana le disipluria dikhle les phirel po pai, tsipisarde daratar; ""Choxano si!"""
,,,"Vierii au pus mîna pe robii lui, şi pe unul l-au bătut, pe altul l-au omorît, iar pe altul l-au ucis cu pietre.","Numa kudula kai bariarenas pe rez line leske slugen ai marde iekes, iekes mudarde, ai ande iek shude baxensa. Magdata tradia avre slugen, kadia data tradias mai but ai kerde lenge sakadia."
,,,"Atunci a zis omului aceluia: ,,Întinde-ţi mîna!`` El a întins -o, şi mîna s'a făcut sănătoasă ca şi cealaltă.","Antunchi phendias le manusheske, ""Lunzhar cho vas."" Wo lunzhardia pesko vas ai sasto sas sar o kolaver."
,,,Credincios este Domnul: El vă va întări şi vă va păzi de cel rău.,Numa O Kristo shoxar chi mekel ame. Wo dela tume zor ai arakhela tume katar o nasulimos.
,,,"Şi, cu multe alte cuvinte, mărturisea, îi îndemna, şi zicea: ,,Mîntuiţi-vă din mijlocul acestui neam ticălos.``","Ai mai avre vorbensa motholas lenge te zuralel le, skepin tume anda kado narodo kai si bezexalo."
,,,"A venit acolo, şi a locuit într'o cetate, numită Nazaret, ca să se împlinească ce fusese vestit prin prooroci: că El va fi chemat Nazarinean.","Gelo te beshel ando foro Nazareth, te pherdiol so sas phendo katar le profeturia,, ke si te akharen les Nazarene."
,,,"Dar mulţi din cei dintîi vor fi cei din urmă, şi mulţi din cei din urmă vor fi cei dintîi.","But anda le perve avena le palune, ai but kai sas le palune avena le perve."""
,,,"De acolo au mers cu corabia la Antiohia, de unde fuseseră încredinţaţi în grija harului lui Dumnezeu, pentru lucrarea, pe care o săvîrşiseră.","Ai kotsar line o paraxodo ai gele ando Antioch, kodo foro kai thosesas les angla Del pala e buchi kai kerde sas."
,,,"Cereţi, şi vi se va da; căutaţi şi veţi găsi; bateţi, şi vi se va deschide.","""Mangen, ai avela tume dino; roden, ai arakhena; maren, ai avela tumenge phuterdo."
,,,"Unii din cei ce stăteau acolo, le-au zis: ,,Ce faceţi? De ce deslegaţi măgăruşul acesta?``","Le manush phushle, ""Sostar phutren le magares?"""
,,,"Şi el se uita la ei cu luare aminte, şi aştepta să capete ceva dela ei.","ai wo dikhelas pe lende, ai azhukerelas te den les vari so."
,,,"cine jură pe Templu, jură pe el şi pe Celce locuieşte în el;","Ai kodo kai solaxal pe tamplo, solaxal vi pe tamplo ai po Del kai si ande tamplo."
,,,"Vai de voi! Pentrucă voi zidiţi mormintele proorocilor, pe cari i-au ucis părinţii voştri.","Nasul tumenge! Ke tume thon le mumunturia le profetonge, kai tumare dada mudarde."
,,,"După ce s'au suit fraţii Lui la praznic, S'a suit şi El, dar nu pe faţă, ci cam pe ascuns.","Kana leske phral gele ka Dies O Baro le Zhidovongo, antunchi O Jesus gelo, vi wo numa na angle narodo, numa sar chordanes."
,,,"Şi nu numai atît, dar ne şi bucurăm în Dumnezeu, prin Domnul nostru Isus Hristos, prin care am căpătat împăcarea.","Ai mai si mai but raduimos ando Del katar amaro Del O Jesus Kristo, kai akana kerdia te avas le vortacha le Devleske."
,,,"Să ştiţi că fratelui Timotei i s'a dat drumul. Dacă vine curînd, voi veni împreună cu el să vă văd.","Mangav tume te zhanen kai o Timote anklisto avri andai temnitsa. Te avela mai sigo, anava les mansa kana avava te dikhav tume."
,,,"Şi am văzut ca o mare de sticlă amestecată cu foc; şi pe marea de sticlă, cu alăutele lui Dumnezeu în mînă, stăteau biruitorii fiarei, ai icoanei ei, şi ai numărului numelui ei.","Porme so dikhlem, dichilisas sar e maria la staklaki amime la iagasa. Won si kodola kai nirisarde o marimos la zhungalo zhiganiasa ai lesko xoxamlo del (ikoni) ai lesko semno ai lesko numero le anavesko. Sa anda lende inkerenas le Harps le Devleske."
,,,"În adevăr, dacă ne-am ieşit din minţi, pentru Dumnezeu ne-am ieşit; dacă sîntem întregi la minte, pentru voi sîntem.","Te si chaches ke dzilo sim? Le Devleske sim, vai te sim gojaver?"
,,,"Voi mai rămînea totuş în Efes pînă la Cincizecime,",Beshava ando Ephesus zhi ka Pentecost.
,,,Apoi a început să vorbească şi să -i înveţe astfel:,"Dias duma ai sichardias le,"
,,,Şi de ce sîntem noi în primejdie în orice clipă?,Ai ame sostar sam swako chaso ande dar?
,,,"El le -a mai zis: ,,Adevărat vă spun, că sînt unii din ceice stau aici, cari nu vor muri pînă nu vor vedea împărăţia lui Dumnezeu venind cu putere.``","O Jesus phendia lenge, ""Chachimasa, phenav tumenge, ""Uni andal kadala kai si katse chi merena zhi pon dikhena e amperetsia le Devleski avela le putierasa."""
,,,"Şi ei s'au suit pe faţa pămîntului, şi au înconjurat tabăra sfinţilor şi cetatea prea iubită. Dar din cer s'a pogorît un foc care i -a mistuit.","ai won zhan pe sa e lumia ai zhan kruglom le Devleske manushen ai kruglom o foro kai drago leske. Numa e iag hulelas tele katar O Del andai rhaio, ai pharhadia le."
,,,"Totuş, fiindcă ştim că omul nu este socotit neprihănit, prin faptele Legii, ci numai prin credinţa în Isus Hristos, am crezut şi noi în Hristos Isus, ca să fim socotiţi neprihăniţi prin credinţa în Hristos, iar nu prin faptele Legii; pentrucă nimeni nu va fi socotit neprihănit prin faptele Legii.","Numa zhanas ke o manush si jindo vorta angla Del ferdi pala pesko pachamos ando Jesus Kristo, ai na ke kerel so mothol o zakono. Iame, pachaiam ame ando Jesus Kristo saxke te avas jinde vorta pala amaro pachamos ando Kristo, ai na ke kerdiam so mothol o zakono. Ke khonik chi avela jindo vorta angla Del ke kerdia so mothol o zakono."
,,,"Dar dacă, în timp ce căutăm să fim socotiţi neprihăniţi în Hristos, şi noi înşine am fi găsiţi ca păcătoşi, este oare Hristos un slujitor al păcatului? Nicidecum!","Numa te rodasa te avas jinde vorta ke sam astarde le Kristosa, iame sam bezexale sode si kodola kai Nai Zhiduvuria, kodia znachil ke O Kristo kerel buchi le bezexeske? Nichi!"
,,,"Isus, care cunoştea lucrul acesta, le -a zis: ,,Puţin credincioşilor, pentruce vă gîndiţi că n'aţi luat pîni?","O Jesus zhanglias ai phendias, ""Tume kai si tume xantsi pachamos. Sostar phenen mashkar tumende, chi andian manrho?"
,,,"Cînd a fost singur, ceice erau în jurul Lui împreună cu cei doisprezece, L-au întrebat despre pilde.","Kana O Jesus sas korkorho, uni manush kai ashunde les ai le desh u dui disipluria avile leste ai phushle les pa paramichi."
,,,"Poate mă voi opri pe la voi, sau poate chiar voi ierna la voi, ca apoi să mă însoţiţi acolo unde voi avea să mă duc.","Amborim beshava tumende, vai amborim nakhav po ivend. Kashte te ninkeren ma compania kotse kai zhava."
,,,"Dar voi, prea iubiţilor, aduceţi-vă aminte de vorbele vestite mai dinainte de apostolii Domnului nostru Isus Hristos.","Numa tume, murhe vortacha, den tume goji, ka divano kai sas tumenge phendo mai anglal katar le apostluria amare Devleske O Jesus Kristo."
,,,"Şi nu numai prin venirea lui, ci şi prin mîngîierea cu care a fost mîngîiat şi el de voi. El ne -a istorisit despre dorinţa voastră arzătoare, despre lacrămile voastre, despre rîvna voastră pentru mine, aşa că bucuria mea a fost şi mai mare.","Ai samas pechime, na ferdi ke avilo, numa ke phendia amenge sar tume pechisardian les. Ai phendia amenge sode mangen te dikhen ma, ai sode nekezhime san, ai sode gata san te thon mange partia; anda kodia akana sim mai raduime."
,,,"Cînd L-au zărit preoţii cei mai de seamă şi aprozii, au început să strige: ,,Răstigneşte -l! Răstigneşte -l!`` ,,Luaţi -L voi şi răstigniţi -L``, le -a zis Pilat, ,,căci eu nu găsesc nicio vină în El.``","Numa kana le bare le rashange ai zhandari dikhle les, tsipinas, phenenas, ""Karfon les, karfon les."" O Pilate phendia lenge, ""Len les tume, ai karfon les: ke me chi arakhav chi iek nasulimos ande leste."""
,,,care va răsplăti fiecăruia după faptele lui.,Ai kai O Del dela sakones pala so kerdia.
,,,"Şi, dacă sîntem copii, sîntem şi moştenitori: moştenitori ai lui Dumnezeu, şi împreună moştenitori cu Hristos, dacă suferim cu adevărat împreună cu El, ca să fim şi proslăviţi împreună cu El.","No te sam leske shave, liam ame avela dino o lashimos le Devlesko, kai O Del shinadia peske narodoske, liam ame avela dino le Kristosa; ke te chinuisarasa lesa, avasa lesa luvudime."
,,,"Să nu credeţi că am venit să stric Legea sau Proorocii; am venit nu să stric, ci să împlinesc.","""Na gindin ke avilem te parhuvav o zakono vai o sicharimos le profetongo. Chi avilem te rimov le, numa avilem te pherav le."
,,,"Unul din ei, Caiafa, care era mare preot în anul acela, le -a zis: ,,Voi nu ştiţi nimic;","Iek anda lende, kai busholas Caiaphas, kai sas o baro rashai kodo bersh, phendia lenge, ""Tume chi zhanen kanchi!"
,,,Al cincilea a vărsat potirul lui peste scaunul de domnie al fiarei. Şi împărăţia fiarei a fost acoperită de întunerec. Oamenii îşi muşcau limbile de durere.,O panshto angelo shordia katar leski saxanitsa po than kai o zhungalo zhigania beshel sar amperato. Leski amperetsia sas shudini ando tuniariko. Kodola kai luvudisarde les dindarde lenge shiba ke dukhalas le kadia but.
,,,"Şi prin El şi voi sînteţi zidiţi împreună, ca să fiţi un lăcaş al lui Dumnezeu, prin Duhul.",Lesa tume san ande so kerdiol te kerdion sa le kolavrensa iek kher kai O Del beshel katar Swunto Duxo.
,,,",,Femeie``, i -a zis Isus, ,,de ce plîngi? Pe cine cauţi?`` Ea a crezut că este grădinarul, şi I -a zis: ,,Domnule, dacă L-ai luat, spune-mi unde L-ai pus, şi mă voi duce să -L iau.``","O Jesus phendia lake, ""Zhuvlio, Sostar roves? Kas rodes?"" Ai woi gindilas ke wo sas o manush kai lel sama katar o sado, phenel leske, ""Gazda, te lian les vari kai, phen mange kai thodian les, ai me lava les."""
,,,"Aţi auzit că s'a zis: ,,Să iubeşti pe aproapele tău, şi să urăşti pe vrăjmaşul tău.``","""Tume ashundian ke sas phendo, 'Ke trobul te avel tuke drago cho vortako, ai te vurhitsis che duzhmanon.'"
,,,"Şi cînd va veni El, va dovedi lumea vinovată în ce priveşte păcatul, neprihănirea şi judecata.","Ai kana avela, sikavela le narodoske ke shubinpe pa bezex, pa so si vorta, ai pai kris le Devleski."
,,,Harul Domnului nostru Isus Hristos să fie cu duhul vostru! Amin,O mishtimos amaro Devlesko Jesus Kristo te avel tumensa. Amen.
,,,pentru care sufăr pînă acolo că sînt legat ca un făcător de rele. Dar Cuvîntul lui Dumnezeu nu este legat.,"Ai ke phenav pa kadia lashi viasta chinuime sim, ai vi phanglo sim le lantsonsa sar iek manush kai kerel nasulimos. Numa E Vorba le Devleski nai phangli andel lantsuria,"
,,,"Femeia aceasta era o grecoaică, de obîrşie Siro-feniciană. Ea îl ruga să scoată pe dracul din fiica ei.","E zhuvli sas Grekaika, biandilia ando them Phoenicia, woi manglia les te gonil le benges avri anda laki shei."
,,,"Cînd s'a făcut ziuă, dregătorii au trimes pe ceice purtau nuielele (Greceşte: lictori.), să spună temnicerului: ,,Dă drumul oamenilor acelora.``","Kana phuterdilo o dies, le ketani Romanuria trade te mothon le manusheske kai lelas sama katar e temnitsa, phenenas, ""Mekes kodole manushen avri."
,,,",,Du-te``, i -a zis Isus, ,,de cheamă pe bărbatul tău, şi vino aici``.","O Jesus phendia lake, ""Zha. Akhar che rhomes, ai aida katse."""
,,,"Însă, dacă te însori, nu păcătuieşti. Dacă fecioara se mărită, nu păcătuieşte. Dar fiinţele acestea vor avea necazuri pămînteşti, şi eu aş vrea să vi le cruţ.","Numa te san ansurin, chi kerdian bezex; ai shei bari te ansurilpe, nai bezex. Numa kodola manush avela le baiuria mashkar lende."
,,,"El le -a răspuns: ,,Oare puteţi face pe nuntaşi să postească în timpul cînd mirele este cu ei?","Ai O Jesus phendia lenge, ""Sar sai postin le vortacha le rhomeske, kana o rhom lensa lo?"
,,,"Căpitanul a zis: ,,Eu cu o mare sumă de bani am dobîndit cetăţenia aceasta.`` ,,Şi eu``, a zis Pavel, ,,sînt chiar născut Roman.``","Ai o baro ketana phendia, ""Pochindem bare love te kerdiuav chacho Romano."" Ai o Pavlo phendia leske, ""Me kadia kerdilem."""
,,,"Iată de ce au pus Iudeii mîna pe mine în Templu, şi au căutat să mă omoare.","Eta, sostar le Zhiduvuria line ma ande tampla ai mangenas te mudaren ma."
,,,"Căci cine este, în adevăr, nădejdea, sau bucuria, sau cununa noastră de slavă? Nu sînteţi voi, înaintea Domnului nostru Isus Hristos, la venirea Lui?","Tume, kai san amaro pachamos, raduimos, ai o semno ke nirisarasa, ai kai ame sai luvudisavas angla amaro Devles Jesus Kristo kana avela palpale."
,,,"Cu coada trăgea după el a treia parte din stelele cerului, şi le arunca pe pămînt. Balaurul a stătut înaintea femeii, care sta să nască, pentruca să -i mănînce copilul, cînd îl va naşte.","Leski phori lia pesa e trito partia le chererhaiange katar o cheri ai shudia le pe phuv. Ai o baro sap beshlo angla e zhuvli kana avelas lake glata, vunzhe te xal o tsinorho strazo kana sas biandilo."
,,,"Isus le -a poruncit să nu spună nimănui; dar cu cît le poruncea mai mult, cu atît Îl vesteau mai mult.","O Jesus phendia lenge te na phenen kanikaske; numa mai but wo phenelas lenge te na phenen kanikaske, mai but won denas duma pa so kerdia O Jesus."
,,,"El s'a dus la Pilat, şi a cerut trupul lui Isus. Pilat a poruncit să i -l dea.","Gelo ke o Pilate, ai manglias le Jesusosko stato. O Pilate dias ordina te den les leste."
,,,"Dar ei au rămas greoi la minte: căci pînă în ziua de astăzi, la citirea Vechiului Testament, această măhramă rămîne neridicată, fiindcă măhrama este dată la o parte în Hristos.","Numa lenge goji nashti ma haliarel, ai zhi adies lenge goji vusharadila sa kodola seliasa kana jinen o zakono le Mosesosko. Kodia selia zhaltar ferdi kana o manush si astardo le Kristosa."
,,,"Dimineaţa, pe cînd Se întorcea în cetate, I -a fost foame.","De diminiatsi, sar avelas palpale ando foro bokhailo."
,,,"Pentru ei Mă rog. Nu Mă rog pentru lume, ci pentru aceia, pe cari Mi i-ai dat Tu; pentrucă sînt ai Tăi: -","Me rhugiv ma lenge: chi rhugiv ma anda lumia, numa kodolenge kai dian ma; ke won chire si."
,,,"Prin credinţă pricepem că lumea a fost făcută prin Cuvîntul lui Dumnezeu, aşa că tot ce se vede n'a fost făcut din lucruri cari se văd.",Pala pachamos ame haliaras kai e lumia sas kerde pala E Vorba le Devleski. Le dieli kai dikhas nas kerde anda le dieli kai chi dichile.
,,,"Şi trupurile lor moarte vor zăcea în piaţa cetăţii celei mari, care, în înţeles duhovnicesc, se cheamă ,,Sodoma`` şi ,,Egipt``, unde a fost răstignit şi Domnul lor.",Lenge mule staturia beshen pe bari wulitsa ando foro Jerusalem. Kotse sas kai O Jesus sas karfosardia po trushul. Univar o foro si akhardo Sodom ai Egypt.
,,,Fiindcă toate aceste lucruri Neamurile le caută. Tatăl vostru cel ceresc ştie că aveţi trebuinţă de ele.,"Ke kodia roden le manush kai chi zhanen le Devles, numa tumaro Dat kai si ando rhaio, zhanel ke trobul tumen sa kadala dieli."
,,,"Ferice de ceice plîng, căci ei vor fi mîngîiaţi!",Raduime kodola ka zhanen nekazo ke won avena pechime!
,,,"Şi dacă Eu scot afară dracii cu ajutorul lui Beelzebul, fiii voştri cu cine -i scot? De aceea ei vor fi judecătorii voştri.",Te goniva me le bengen katar e putiera kai o Beelzebub del tumare shave. Katar len won e putiera te gonin le bengen? Anda kodia won si te shinen tumari kris!
,,,"Toţi ceice se luptă la jocurile de obşte, se supun la tot felul de înfrînări. Şi ei fac lucrul acesta ca să capete o cunună, care se poate vesteji: noi să facem lucrul acesta pentru o cunună, care nu se poate vesteji.","Sa kodola kai zumaven keren but dieluria, chinuin, keren sakadia kashte te nirin le konona kai rimolpe; numa ame keras kodia le konona kai chi rimolpe."
,,,"Tot ce este cu privire la mine, vă va spune Tihic, fratele prea iubit şi slujitorul credincios, tovarăşul meu de slujbă în Domnul.","O Tychicus amaro kuchi phral, kai zhutil ma sagda ai kai si murho vortako ande buchi le Devleske, mothola tumenge sa pa mande."
,,,"Am găsit că era pîrît pentru lucruri privitoare la Legea lor, dar că nu săvîrşise nicio nelegiuire, care să fie vrednică de moarte sau de lanţuri.","Ai dikhlem ke thonas dosh pe leste pa uni vorbi kai motholas pa lengo zakono, numa chi mudardia kanikas te mudaren les vai te phandaven les."
,,,"Fiindcă au stat acolo mai multe zile, Festus a spus împăratului cum stau lucrurile cu Pavel; şi a zis: ,,Felix a lăsat în temniţă pe un om,","Ai mangenas te beshen kotse meskolke dies, o Festus andia angla amperato e diela le Pavloski, ai mothol leske, ""Si katse iek manush kai o Felix meklia ande temnitsa;"
,,,"El va trimete pe îngerii Săi cu trîmbiţa răsunătoare, şi vor aduna pe aleşii Lui din cele patru vînturi, dela o margine a cerurilor pînă la cealaltă.","E tutaraza bashela zurales, ai tradela peske angelon ai si te chiden leske halome andal shtar barvalia, ai de anda iek gor la lumiako ai le cheresko zhando kaver gor."
,,,"Isus a răspuns: ,,Tu zici: ,Dacă poţi!`... Toate lucrurile sînt cu putinţă celui ce crede!``","O Jesus phendia leske, ""Te sai pachasa tu, le Devlesa vari so sai kerdiol kodoleske kai pachalpe."
,,,"Isus a răspuns: ,,Ce este cu neputinţă la oameni, este cu putinţă la Dumnezeu.``","O Jesus phendia, ""Le manush anda pende nashtin, numa le Devlesa vari so sai kerdiol."""
,,,"Cei ce mîncaseră pînile, erau cinci mii de bărbaţi.",Kodola kai xale le manrheske sas panzh mi mursh.
,,,"În Templu a găsit pe cei ce vindeau boi, oi şi porumbei, şi pe schimbătorii de bani şezînd jos.","Ai arakhlia ande tampla manushen kai bichinenas guruven ai bakrian ai gulumburia, ai vi manush kai parhuvenas love beshenas kotse."
,,,"Cînd vor începe să se întîmple aceste lucruri, să vă uitaţi în sus, şi să vă ridicaţi capetele, pentru că izbăvirea voastră se apropie.``","Kana kadala dieli nachinaina te kerdiol, antunchi dikhen opre, ai vazden tumaro shero, ke tumaro skepimos pashelo."""
,,,"Cînd am ajuns la Troa pentru Evanghelia lui Hristos, măcar că mi se deschisese acolo o uşă în Domnul,","Kana areslem ando Troas te mothav pai lashi viasta le Kristoski, arakhalem ke O Del phuterdia o drom te dav duma pa leste kotse."
,,,"cînd sîntem vorbiţi de rău, ne rugăm. Pînă în ziua de azi am ajuns ca gunoiul lumii acesteia, ca lepădătura tuturor.","kerdiliam sar o gunoi la lumiake, ai ame sam o shudimos la savorhenge zhi akana."
,,,"Înţelegeţi şi voi dar, că fii ai lui Avraam sînt cei ce au credinţă.","No tume trobul te haliaren, ke kodola kai si le o pachamos si andai chachi vitsa le Abrahamoski."
,,,"Maria a zis îngerului: ,,Cum se va face lucrul acesta, fiindcă eu nu ştiu de bărbat?``","E Maria phendia le angeloske, ""Sar sai kerdiola so mothos mange, ke shei bari sim?"""
,,,"Prin aceasta vom cunoaşte că sîntem din adevăr, şi ne vom linişti inimile înaintea Lui,","Anda kodia zhanasa ke ame sam shave le Devleske, ai kerela amaro ilo te haliarelape vorta angla Del."
,,,"Nimeni să nu vă amăgească în vreun chip; căci nu va veni înainte ca să fi venit lepădarea de credinţă, şi de a se descoperi omul fărădelegii (Sau: omul păcatului), fiul pierzării,","Na meken te xoxavel tume khonik chi iek fielo. Ke O Kristo chi avela palpale zhi kai avela mai anglal sar te kerdion ek vriama kai le manush duriona katar O Del, porme avela o manush kai phaglo o zakono, kodo si o manush le bezexesko."
,,,"Dragostea lui Dumnezeu faţă de noi s'a arătat prin faptul că Dumnezeu a trimes în lume pe singurul Său Fiu, ca noi să trăim prin El.","Ai O Del sikadia peski dragostia amenge ke tradia peske ieke Shaves ande lumia, saxke pala leste te avel amen o traio."
,,,"Isus le -a zis: ,,Eu sînt Pînea vieţii. Cine vine la Mine, nu va flămînzi niciodată; şi cine crede în Mine, nu va înseta niciodată.","O Jesus phendia lenge, ""Me sim o manrho le traiosko; kodo kai avela mande shoxar chi avela bokhalo; kodo kai pachal ande mande shoxar chi avela trushalo."""
,,,"Şi cine va fi la cîmp, să nu se întoarcă înapoi ca să-şi ia haina.",Ai kodo kai si ande niva te na zhal palpale te lel peske tsalia.
,,,"Căci Fiul lui Dumnezeu, Isus Hristos, care a fost propovăduit de noi în mijlocul vostru, prin mine, prin Silvan, şi prin Timotei, n'a fost ,,da`` şi ,,nu``, ci în El nu este decît ,,da``.","Ke O Shav le Devlesko O Jesus Kristo sas phendo mashkar tumende katar o Silvanus, ai o Timote, ai vi me, chi aviliam te mothas ""E"" vai ""Nichi"", numa ferdi ""E"" kai si katar O Del."
,,,"Sau acei optsprezece inşi, peste cari a căzut turnul din Siloam, şi i -a omorît, credeţi că au fost mai păcătoşi decît toţi ceilalţi oameni, cari locuiau în Ierusalim?","Ai kodola desh u oxto manush kai pelo pe lende o baro kher ande Siloam, ai mudarde le, tume gindin ke mai doshale sas sar sa o narodo kai si ando Jerusalem?"
,,,"Dar socotesc că nici eu nu sînt cu nimic mai pe jos de apostolii aceştia ,,nespus de aleşi!``",Gindiv ke chi sim mai tele ande kancheste ke sar tumare slugi!
,,,"(Isus, dupăce a înviat, în dimineaţa zilei dintîi a săptămînii, S'a arătat mai întîi Mariei Magdalinei, din care scosese şapte draci.","O Jesus zhuvindisailo anda martia kana phuterdilo o dies, o pervo dies le kurkosko. E Maria Magdalena sas iekto te dikhel les. O Jesus gonisardiasas avri anda late efta bengen."
,,,"sînt felurite lucrări, dar este acelaş Dumnezeu, care lucrează totul în toţi.","But fialuria dieluria, numa iek Del kai kerel sa savorhende."
,,,"Şi dorea mult să se sature cu fărămiturile, cari cădeau de la masa bogatului; pînă şi cînii veneau şi -i lingeau bubele.",Kamlino te xal le kozhi kai perenas pai skafidi le barvaleske; ai inker le zhukel mai avenas te den la shibasa pa leske pugnia.
,,,"Deci ce vom zice? Neamurile, cari nu umblau după neprihănire, au căpătat neprihănirea şi anume neprihănirea care se capătă prin credinţă;","Apo so te mothas andal manush? Kai nai Zhiduvuria, ai kai chi roden te aven vorta angla Del, kerdile vorta angla Del katar pengo pachamos."
,,,"Atunci Isus le -a zis: ,,În noaptea aceasta, toţi veţi găsi în Mine o pricină de poticnire; căci este scris: ,Voi bate Păstorul, şi oile turmei vor fi risipite.`","O Jesus phendias lenge, ""Ariat sa si te meken ma palal so kerdiolape mange, ke ramome, 'Dava dab le pastuxos ai le bakre, si te rhispinpe.'"
,,,"Eu ştiu şi sînt încredinţat în Domnul Isus, că nimic nu este necurat în sine, şi că un lucru nu este necurat de cît pentru cel ce crede că este necurat.","Me zhanav, ai pachav ke kadia si katar O Del O Jesus, ke kanchi nai bi vuzho wo korkorho, numa te gindila vari kon ke iek diela bi vuzhi la, kodia diela kerdiol bi vuzhi leske."
,,,"El le -a mai zis: ,,Luaţi seama la ce auziţi. Cu ce măsură veţi măsura, vi se va măsura: şi vi se va da şi mai mult.","O Jesus phendia lenge, ""Len sama so ashunen. Ke so keren le kolavrenge, O Del kerela tumenge, ai vi mai but."
