ID,ro,rmy,source,len_ro,len_rmy,ratio
Acts_3_6,"Atunci, Petru i-a zis: „Argint şi aur n-am, dar ce am, îţi dau: În Numele lui Isus Hristos din Nazaret, scoală-te şi umblă!”","Atunći o Petru phendǎs lesqe: — Na‑i man nići sumnakaj, nići rup, ama so si man, dav tut: and‑o Anav le Isusosqo andar o Nazaret, uśte opre thaj phir!",custom,23,29,1.2608695652173914
Acts_3_7,L-a apucat de mâna dreaptă şi l-a ridicat în sus. Îndată i s-au întărit tălpile şi gleznele;,"Thaj o Petru astardǎs les le ćaće vastesθar thaj vazdinǎs les. Atunći, lesqe punre thaj lesqe punrenqe anre kerdile zorale,",custom,17,20,1.1764705882352942
Acts_3_8,"dintr-o săritură a fost în picioare şi a început să umble. A intrat cu ei în Templu, umblând, sărind şi lăudând pe Dumnezeu.","xutilǎs ande punrenθe thaj astardǎs te phirel. Pala kodoja, gelǎs le Petroça haj le Joanoça andre and‑e bar le Templosqi phirindoj, xutindoj thaj aśarindoj le Devles.",custom,23,26,1.1304347826086956
Acts_3_9,Tot norodul l-a văzut umblând şi lăudând pe Dumnezeu.,Savorre manuśa dikhle les phirindoj thaj aśarindoj le Devles.,custom,9,9,1.0
Acts_3_10,"Îl cunoşteau că era cel ce şedea la poarta „Frumoasă” a Templului, ca să ceară de pomană, şi s-au umplut de uimire şi de mirare pentru cele ce i se întâmplaseră.","Prinʒarde les ke si kodova kaj beśelas k‑o Udar Śukar le Templosqo, te mangel pesqe. Thaj sas but mirime anda so kerdilǎs kadale manuśeça. O Petru del duma le manuśenqe k‑o Templo",custom,31,32,1.032258064516129
Acts_3_11,"Fiindcă el se ţinea de Petru şi de Ioan, tot norodul, mirat, a alergat la ei în pridvorul zis al lui Solomon.","O manuś inkerelas pes le thaj le Joanosθar haj savorre manuśa, mirime, naśle karing lenθe and‑o le Solomonosqo.",custom,22,18,0.8181818181818182
Acts_3_12,"Petru, când a văzut lucrul acesta, a luat cuvântul şi a zis norodului: „Bărbaţi israeliţi, pentru ce vă miraţi de lucrul acesta? De ce vă uitaţi cu ochii ţintă la noi, ca şi cum prin puterea noastră sau prin cucernicia noastră am fi făcut pe omul acesta să umble?","Kana o Petru dikhlǎs kadaja buki, phendǎs le manuśenqe: — Phralalen israelicǎ, sosqe aćhen bimujesqo vaś kadaja buki? Sosqe dikhen vorta amenθe, sar kana kadava manuś daśtil te phirel ke amen si amen bari zor vaj ke sam devlikane?",custom,49,39,0.7959183673469388
Acts_3_13,"Dumnezeul lui Avraam, Isaac şi Iacov, Dumnezeul părinţilor noştri, a proslăvit pe Robul Său Isus, pe care voi L-aţi dat în mâna lui Pilat şi v-aţi lepădat de El înaintea lui, măcar că el era de părere să-I dea drumul.","O Del le Avraamosqo, le Isaakosqo thaj le Jakovosqo, o Del amare phurenqo sikavdǎs sode si de baro o Isus, Lesqo robo. Tume dinen Les ⌞pe le romanenqe vasta⌟ thaj na kamlen Les kana sas angla o vi kana vov kamlǎs te del Lesqo drom.",custom,40,45,1.125
Acts_3_14,Voi v-aţi lepădat de Cel Sfânt şi Neprihănit şi aţi cerut să vi se dăruiască un ucigaş.,"Vov sas o Sfïnto haj o Ćaćo ⌞Robo le Rajesqo⌟, ama tume na kamlen Les thaj manglen te del pes tumenqe jekh kaj mudardǎs manuśen.",custom,17,25,1.4705882352941178
Acts_3_15,"Aţi omorât pe Domnul vieţii, pe care Dumnezeu L-a înviat din morţi; noi suntem martori ai Lui.","Mudarden Kodoles kaj del ʒivipen, ama o Del Les andar ol mule thaj ame sam martorǎ ke kadaja buki vi sas.",custom,17,21,1.2352941176470589
