ID,Text_ro,Text_rom
Acts_1_21,"Trebuie deci ca, dintre cei ce ne-au însoţit în toată vremea în care a trăit Domnul Isus între noi,","Si murśa kaj sas amença savorri vremǎ sode phirdǎs o Raj o Isus amença,"
Acts_1_22,"cu începere de la botezul lui Ioan până în ziua când S-a înălţat El de la noi, să fie rânduit unul care să ne însoţească drept martor al învierii Lui.”","de kana o Joan boldǎs Les, ʒi and‑o ges kana sas lino k‑o ćeri katar amenθe. Vaś kodoja, jekh andar kadala murśa si te avel martori ⌞and‑o than le Judasqo⌟, khethanes amença, ke o Isus ʒivdilǎs andar ol mule."
Acts_1_23,"Ei au pus înainte pe doi: pe Iosif, numit Barsaba, zis şi Iust, şi pe Matia.","Von thode anglal duje ⌞murśen⌟: le Josifos, kaj bućholas Barsaba, haj phenenas lesqe vi Just, haj le Matias."
Acts_1_24,"Apoi au făcut următoarea rugăciune: „Doamne, Tu, care cunoşti inimile tuturor oamenilor, arată-ne pe care din aceşti doi l-ai ales,","Haj von ⌞savorre⌟ rugisarde pen haj phende: — Raja, Tu, kaj prinʒares ol ile savorre manuśenqe, sikav amenqe saves andar kadala duj alosardǎn les"
Acts_1_25,"ca să ia loc în slujba şi apostolia aceasta, din care a căzut Iuda, ca să meargă la locul lui.”","te sluźil sar apostolo and‑o than le Judasqo. Ke o Juda mukhlǎs rigaθe kadaja buki, kaś te ʒal kaj meritisardǎs te avel."
Acts_1_26,"Au tras la sorţi, şi sorţul a căzut pe Matia, care a fost numărat împreună cu cei unsprezece apostoli.","Cirdine te dikhen kon perel haj inklistǎs o Matia, haj sas alosardo apostolo paś‑ol deśujekh apostolǎ."
Acts_2_1,"În Ziua Cincizecimii, erau toţi împreună în acelaşi loc.","Kana avilǎs o baro ges le , savorre ⌞pakǎvne and‑o Isus⌟ sas kidine and‑jekh than."
Acts_2_2,"Deodată, a venit din cer un sunet ca vâjâitul unui vânt puternic şi a umplut toată casa unde şedeau ei.",Andar jekhvar avilǎs andar o ćeri jekh suneto sar kana e balval phurdel zorales haj pherdǎs savorro kher kaj sas von.
Acts_2_3,Nişte limbi ca de foc au fost văzute împărţindu-se printre ei şi s-au aşezat câte una pe fiecare din ei.,"Niśte pare jagaqe sar niśte ćhibǎ sikavdile lenqe, haj sakon para thodǎs pes pe fiesavesθe andar lenθe."
Acts_2_4,"Şi toţi s-au umplut de Duh Sfânt şi au început să vorbească în alte limbi, după cum le dădea Duhul să vorbească.","Haj savorre pherdile Somnale Duhoça, haj astarde te den duma ande aver ćhibǎ, pala sar o Duho kerelas len te den duma."
Acts_2_5,"Şi se aflau atunci în Ierusalim iudei, oameni cucernici din toate neamurile care sunt sub cer.","Haj and‑o Jerusalim beśenas atunći , save sas manuśa devlikane andar savorre thana save si tal‑o ćeri."
Acts_2_6,"Când s-a auzit sunetul acela, mulţimea s-a adunat şi a rămas încremenită, pentru că fiecare îi auzea vorbind în limba lui.","Kana aśundilǎs kodova suneto, ol but manuśa kidine pen haj na ʒangle so te pakǎn kadale bukǎθar, vaś ke fiesavo aśunelas len ke denas duma ande lesqi ćhib."
Acts_2_7,"Toţi se mirau, se minunau şi ziceau unii către alţii: „Toţi aceştia care vorbesc nu sunt galileeni?","Savorre aćhile putarde mujeça, na avelas lenqe te pakǎn, haj phenenas jekh avresqe: — Savorre kadala, save den duma, si andar e reʒiunǎ Galilea!"
Acts_2_8,"Cum dar îi auzim vorbind fiecăruia din noi în limba noastră, în care ne-am născut?",Atunći sar aśunel len fiesavo andar amenθe ke den duma ande amare ćhibǎ kheral?
Acts_2_9,"Parţi, mezi, elamiţi, locuitori din Mesopotamia, Iudeea, Capadocia, Pont, Asia,","Manuśa katar ol reʒiune Partia haj Media, katar o Elamo, manuśa kaj beśen and‑ol reʒiune Mesopotamia, Judea haj Kapadoćia, and‑ol provinćie Ponto haj Asia,"
Acts_2_10,"Frigia, Pamfilia, Egipt, părţile Libiei dinspre Cirene, oaspeţi din Roma, iudei sau prozeliţi,","and‑ol reʒiune Friʒia haj Pamfilia, and‑o Eʒipt haj and‑ol riga la reʒiunǎqi Libia de karing e ćetatǎ Ćirena, haj manuśa andar e ćetatǎ Roma,"
Acts_2_11,"cretani şi arabi, îi auzim vorbind în limbile noastre lucrurile minunate ale lui Dumnezeu!”","judea vaj manuśa kaj kerde pen judea, kretanǎ thaj arabǎ, ame savorre aśunas len ke den duma ande amare ćhibǎ pa ol bare bukǎ le Devlesqe!"
Acts_2_12,"Toţi erau uimiţi, nu ştiau ce să creadă şi ziceau unii către alţii: „Ce vrea să zică aceasta?”","Savorre aćhile putarde mujeça, na ʒanenas so te pakǎn haj phenenas jekh avresqe: — So kamel te avel kadaja?"
Acts_2_13,Dar alţii îşi băteau joc şi ziceau: „Sunt plini de must!”,"Ama aver ʒene prasanas le ućenićen: — Si mate, pile prǎ but mol! O Petru del duma le judeenqe haj but ʒene pakǎn and‑o Isus"
Acts_2_14,"Atunci, Petru s-a sculat în picioare cu cei unsprezece, a ridicat glasul şi le-a zis: „Bărbaţi iudei şi voi toţi cei care locuiţi în Ierusalim, să ştiţi lucrul acesta şi ascultaţi cuvintele mele!","Atunći o vazdinǎs pes le deśujekhença, haj phendǎs lenqe, le manuśenqe, dindoj duma zorales: — Phralalen haj tume savorre kaj beśen and‑o Jerusalim, te ʒanen kadaja buki, haj aśunen miśto mirre dume!"
Acts_2_15,"Oamenii aceştia nu sunt beţi, cum vă închipuiţi voi, căci nu este decât al treilea ceas din zi.","Ol manuśa kadala na‑i mate, sar pakǎn tume, vaś ke si numaj enǎ de texara."
Acts_2_16,Ci aceasta este ce a fost spus prin prorocul Ioel:,Ama kadaja si so phendilǎs pand‑o prooroko Joel:
Acts_2_17,"‘În zilele de pe urmă’, zice Dumnezeu, ‘voi turna din Duhul Meu peste orice făptură; feciorii voştri şi fetele voastre vor proroci, tinerii voştri vor avea vedenii şi bătrânii voştri vor visa visuri!","« Kadja avela and‑ol , phenel o Del, Ćhorava Mirre Duhos opral sakon manuś. Tumare ćhave haj tumare ćhaja prooroćina, tumare ternen avela len dikhlimata, haj tumare phuren avela len sune."
Acts_2_18,"Da, chiar şi peste robii Mei şi peste roabele Mele voi turna, în zilele acelea, din Duhul Meu şi vor proroci.","Va, opral Mirre robǎ, murśa haj ʒuvlǎ, ande kola gesa ćhorava Mirre Duhos haj von prooroćina."
Acts_2_19,"Voi face să se arate semne sus în cer şi minuni jos pe pământ, sânge, foc şi un vârtej de fum;","Sikavava bare bukǎ opre p‑o ćeri haj kerava semnurǎ tele p‑i phuv: rat, jag haj but thuv."
Acts_2_20,"soarele se va preface în întuneric, şi luna, în sânge înainte ca să vină ziua Domnului, ziua aceea mare şi strălucită.","O kham kerdǒla kalo sar o tunǎriko, haj o ćhonut lolo sar o rat, anglal te avel le Rajesqo ges savo si baro haj pherdo slava."
Acts_2_21,"Atunci, oricine va chema Numele Domnului va fi mântuit.’","Atunći orkon le Rajes p‑o Anav, avela . »"
Acts_2_22,"Bărbaţi israeliţi, ascultaţi cuvintele acestea! Pe Isus din Nazaret, om adeverit de Dumnezeu înaintea voastră prin minunile, semnele şi lucrările pline de putere pe care le-a făcut Dumnezeu prin El în mijlocul vostru, după cum bine ştiţi,","Phralalen israeliturǎ, aśunen kadala dume! Pand‑o Isus andar o Nazaret o Del kerdǎs zorale bukǎ haj bare semnurǎ maśkar tumenθe, sar tume ʒanen miśto. Kadja o Del sikavdǎs tumenqe ke Vov bićhaldǎs Les."
Acts_2_23,"pe Omul acesta, dat în mâinile voastre după sfatul hotărât şi după ştiinţa mai dinainte a lui Dumnezeu, voi L-aţi răstignit şi L-aţi omorât prin mâna celor fărădelege.",Kadava Isus sas predome tumenqe kadja sar o Del kerdǎs plano haj ʒanglǎs de anglal. Haj tume kerden le nejudeen te maren Les karfença p‑o truśul haj mudarden Les.
Acts_2_24,"Dar Dumnezeu L-a înviat, dezlegându-I legăturile morţii, pentru că nu era cu putinţă să fie ţinut de ea.","Les o Del ʒivdǎrdǎs Les, pala so inkalavdǎs Les andar o meripen, vaś ke o meripen na aśtilas te inkerel Les."
Acts_2_25,"Căci David zice despre El:‘Eu aveam totdeauna pe Domnul înaintea mea, pentru că El este la dreapta mea, ca să nu mă clatin.","Vaś kadaja o David phenel pa Lesθe: «Savorri vremǎ dikhavas le Rajes angla manθe, vaś ke Vov si paśa manθe kaś te na traśav."
Acts_2_26,"De aceea, mi se bucură inima şi mi se veseleşte limba; chiar şi trupul mi se va odihni în nădejde,","Vaś kadaja lośajlǎs mirro ilo, dinem trat lośalo haj aćhola man speranca ke mirro trupo ʒivdǒla,"
Acts_2_27,căci nu-mi vei lăsa sufletul în Locuinţa morţilor şi nu vei îngădui ca Sfântul Tău să vadă putrezirea.,"vaś ke na mekhesa man and‑o than kaj beśen ol mule, na mekhesa Kire sfïntos te kernǒl."
Acts_2_28,Mi-ai făcut cunoscute căile vieţii şi mă vei umple de bucurie cu starea Ta de faţă.’,Kerdǎn manqe prinʒardo o drom karing o ʒivipen haj keresa man te lośarav man vaś ke Tu san paśa manθe.»
Acts_2_29,"Cât despre patriarhul David, să-mi fie îngăduit, fraţilor, să vă spun fără sfială că a murit şi a fost îngropat, şi mormântul lui este în mijlocul nostru până în ziua de azi.",", kamav te anav tumare gogǎθe so ʒanglǒl aba pa amaro phuro dad o David, ke mulǎs haj sas praxome, haj lesqo praxomasqo than si maśkar amenθe ʒi ages."
Acts_2_30,"Fiindcă David era proroc şi ştia că Dumnezeu îi făgăduise cu jurământ că va ridica pe unul din urmaşii săi pe scaunul lui de domnie,","O David sas prooroko, vov ʒanglǎs ke o Del xalǎs sovli te thol pe lesqo thagarikano skamin jekhe ćhaves kaj biandǒla lesθar"
Acts_2_31,"despre învierea lui Hristos a prorocit şi a vorbit el, când a zis că sufletul lui nu va fi lăsat în Locuinţa morţilor şi trupul lui nu va vedea putrezirea.","haj dikhlǎs de anglal ke o avela ʒivdǎrdo. Pa kadalaθe dinǎs duma o David kana phendǎs ke n‑as mekhlo te beśel and‑o than kaj beśen ol mule, haj lesqo trupo na kernilǎs ."
Acts_2_32,"Dumnezeu a înviat pe acest Isus, şi noi toţi suntem martori ai Lui.","Le Isusos o Del ʒivdǎrdǎs Les, haj ame savorre sam martorǎ ke kadja sas."
Acts_2_33,"Şi acum, odată ce S-a înălţat prin dreapta lui Dumnezeu şi a primit de la Tatăl făgăduinţa Duhului Sfânt, a turnat ce vedeţi şi auziţi.","Vov sas vazdino k‑e ćaći rig le Devlesqi haj primisardǎs katar o Dad le Somnale Duhos sar phendǎsas o Del maj anglal. Ćhordǎs Les pe amenθe, kadja sar dikhen haj aśunen."
Acts_2_34,"Căci David nu s-a suit în ceruri, ci el singur zice: ‘Domnul a zis Domnului meu: «Şezi la dreapta Mea","Ama o David na gelǎs opre and‑o ćeri, kadja ke na pa pesθe phendǎs: « O Raj o Del phendǎs mirre Rajesqe: ‘Beś ke Mirri ćaći rig"
Acts_2_35,până ce voi pune pe vrăjmaşii Tăi sub picioarele Tale.»’,haj thava Kire duśmanen tala Kire punre!’ »
Acts_2_36,"Să ştie bine dar, toată casa lui Israel, că Dumnezeu a făcut Domn şi Hristos pe acest Isus pe care L-aţi răstignit voi.”","Vaś kodoja, te ʒanel miśto savorro Israelo ke le Isusos, saves tume marde Les karfença p‑o truśul, o Del kerdǎs Les Raj thaj Hristos."
Acts_2_37,"După ce au auzit aceste cuvinte, ei au rămas străpunşi în inimă şi au zis lui Petru şi celorlalţi apostoli: „Fraţilor, ce să facem?”","Kana aśunde von kadala dume, simcinas pen dośale haj tristome. Kadala dume ćhinde and‑ol ile le manuśenqe thaj von phende le Petrosqe haj okolavre apostolenqe: — Phralalen, so te keras?"
Acts_2_38,"„Pocăiţi-vă”, le-a zis Petru, „şi fiecare din voi să fie botezat în Numele lui Isus Hristos, spre iertarea păcatelor voastre; apoi veţi primi darul Sfântului Duh.","O Petru dinǎs lenqe anglal: — Bolden tumen k‑o Del haj sakon andar tumenθe te avel boldo and‑o Anav le Isusosqo Hristos, kaś te aven jertime tumare ! Atunći primina sar daro le Somnale Duhos."
Acts_2_39,"Căci făgăduinţa aceasta este pentru voi, pentru copiii voştri şi pentru toţi cei ce sunt departe acum, în oricât de mare număr îi va chema Domnul Dumnezeul nostru.”","Vaś ke o Del phendǎs ke tumenqe del Les, tumenqe, tumare ćhavenqe, kolenqe kaj beśen dur kathar, thaj orkasqe saves akharela les o Raj, amaro Del."
Acts_2_40,"Şi, cu multe alte cuvinte, mărturisea, îi îndemna şi zicea: „Mântuiţi-vă din mijlocul acestui neam ticălos.”",Haj bute avre dumença rugilas len andar savorro ilo: — Xastraven tumen le krisinimasθar kaj avela opral kadale ʒungale manuśenθe save trajin akana!
Acts_2_41,"Cei ce au primit propovăduirea lui au fost botezaţi; şi în ziua aceea, la numărul ucenicilor s-au adăugat aproape trei mii de suflete.","Kodola kaj pakǎjle so phendǎs vov, sas bolde, haj ande kodova ges thodile paśa lenθe fo trin mie manuśa. Sar ʒivenas haj so kerenas ol anglune kreśtinǎ"
Acts_2_42,"Ei stăruiau în învăţătura apostolilor, în legătura frăţească, în frângerea pâinii şi în rugăciuni.","Sǎ e vremǎ ol pakǎvne siklǒnas katar ol apostolǎ, sas khethanes sar jekh, phagenas o manro maśkar penθe haj rugisarenas pen."
Acts_2_43,"Fiecare era plin de frică, şi prin apostoli se făceau multe minuni şi semne.",O Del kerelas pand‑ol apostolǎ but bare bukǎ haj semnurǎ. Haj sakon manuś darajlǎs.
Acts_2_44,Toţi cei ce credeau erau împreună la un loc şi aveau toate de obşte.,Savorre save pakǎnas kidenas pen and‑jekh than haj sǎ so sas len sas len khethanes.
Acts_2_45,"Îşi vindeau ogoarele şi averile, şi banii îi împărţeau între toţi, după nevoile fiecăruia.",Bikinenas penqe phuvǎ haj aver bukǎ kaj sas len haj denas ol love pala sar trebulas sakones.
Acts_2_46,"Toţi împreună erau nelipsiţi de la Templu în fiecare zi, frângeau pâinea acasă şi luau hrana cu bucurie şi curăţie de inimă.","Ande fiesavo ges arakhenas pen savorre khethanes k‑o Templo, phagenas o manro khere penθe haj xanas lośale haj uźe ileça."
Acts_2_47,Ei lăudau pe Dumnezeu şi erau plăcuţi înaintea întregului norod. Şi Domnul adăuga în fiecare zi la numărul lor pe cei ce erau mântuiţi.,Aśarenas le Devles haj savorre manuśa dikhenas len śukar. Haj o Raj tholas paśa lenθe ande sakon ges kolen save sas xastravde.
Acts_3_1,"Petru şi Ioan se suiau împreună la Templu, la ceasul rugăciunii: era ceasul al nouălea.","Ande jekh ges, k‑o trin pal‑o mesmeri, kana ol manuśa ruginas pen k‑o Templo, o thaj o Joan ʒanas vi von kothe."
Acts_3_2,"Acolo era un om olog din naştere, care era dus şi pus în toate zilele la poarta Templului numită „Frumoasă”, ca să ceară de milă de la cei ce intrau în Templu.","Haj jekh manuś kaj sas bange punrenqo de kana biandilo sas andino thaj thodo sakon ges paśa jekh andar ol udara le Templosqe, kaj bućholas o Udar Śukar, te mangel pesqe katar ol manuśa kaj avenas k‑o Templo."
Acts_3_3,"Omul acesta, când a văzut pe Petru şi pe Ioan că voiau să intre în Templu, le-a cerut milostenie.","Kadava manuś, kana dikhlǎs le Petros thaj le Joanos ke den te ʒan and‑e bar le Templosqi, manglǎs lenθar love."
Acts_3_4,"Petru, ca şi Ioan, s-a uitat ţintă la el şi a zis: „Uită-te la noi!”",O Petru thaj o Joan dikhle vorta lesθe thaj o Petru phendǎs lesqe: — Dikh‑ta amenθe!
Acts_3_5,Şi el se uita la ei cu luare aminte şi aştepta să capete ceva de la ei.,"Thaj vov dikhlǎs lenθe miśto, aźukǎrindoj te den les vareso."
Acts_3_6,"Atunci, Petru i-a zis: „Argint şi aur n-am, dar ce am, îţi dau: În Numele lui Isus Hristos din Nazaret, scoală-te şi umblă!”","Atunći o Petru phendǎs lesqe: — Na‑i man nići sumnakaj, nići rup, ama so si man, dav tut: and‑o Anav le Isusosqo andar o Nazaret, uśte opre thaj phir!"
Acts_3_7,L-a apucat de mâna dreaptă şi l-a ridicat în sus. Îndată i s-au întărit tălpile şi gleznele;,"Thaj o Petru astardǎs les le ćaće vastesθar thaj vazdinǎs les. Atunći, lesqe punre thaj lesqe punrenqe anre kerdile zorale,"
Acts_3_8,"dintr-o săritură a fost în picioare şi a început să umble. A intrat cu ei în Templu, umblând, sărind şi lăudând pe Dumnezeu.","xutilǎs ande punrenθe thaj astardǎs te phirel. Pala kodoja, gelǎs le Petroça haj le Joanoça andre and‑e bar le Templosqi phirindoj, xutindoj thaj aśarindoj le Devles."
Acts_3_9,Tot norodul l-a văzut umblând şi lăudând pe Dumnezeu.,Savorre manuśa dikhle les phirindoj thaj aśarindoj le Devles.
Acts_3_10,"Îl cunoşteau că era cel ce şedea la poarta „Frumoasă” a Templului, ca să ceară de pomană, şi s-au umplut de uimire şi de mirare pentru cele ce i se întâmplaseră.","Prinʒarde les ke si kodova kaj beśelas k‑o Udar Śukar le Templosqo, te mangel pesqe. Thaj sas but mirime anda so kerdilǎs kadale manuśeça. O Petru del duma le manuśenqe k‑o Templo"
Acts_3_11,"Fiindcă el se ţinea de Petru şi de Ioan, tot norodul, mirat, a alergat la ei în pridvorul zis al lui Solomon.","O manuś inkerelas pes le thaj le Joanosθar haj savorre manuśa, mirime, naśle karing lenθe and‑o le Solomonosqo."
Acts_3_12,"Petru, când a văzut lucrul acesta, a luat cuvântul şi a zis norodului: „Bărbaţi israeliţi, pentru ce vă miraţi de lucrul acesta? De ce vă uitaţi cu ochii ţintă la noi, ca şi cum prin puterea noastră sau prin cucernicia noastră am fi făcut pe omul acesta să umble?","Kana o Petru dikhlǎs kadaja buki, phendǎs le manuśenqe: — Phralalen israelicǎ, sosqe aćhen bimujesqo vaś kadaja buki? Sosqe dikhen vorta amenθe, sar kana kadava manuś daśtil te phirel ke amen si amen bari zor vaj ke sam devlikane?"
Acts_3_13,"Dumnezeul lui Avraam, Isaac şi Iacov, Dumnezeul părinţilor noştri, a proslăvit pe Robul Său Isus, pe care voi L-aţi dat în mâna lui Pilat şi v-aţi lepădat de El înaintea lui, măcar că el era de părere să-I dea drumul.","O Del le Avraamosqo, le Isaakosqo thaj le Jakovosqo, o Del amare phurenqo sikavdǎs sode si de baro o Isus, Lesqo robo. Tume dinen Les ⌞pe le romanenqe vasta⌟ thaj na kamlen Les kana sas angla o vi kana vov kamlǎs te del Lesqo drom."
Acts_3_14,Voi v-aţi lepădat de Cel Sfânt şi Neprihănit şi aţi cerut să vi se dăruiască un ucigaş.,"Vov sas o Sfïnto haj o Ćaćo ⌞Robo le Rajesqo⌟, ama tume na kamlen Les thaj manglen te del pes tumenqe jekh kaj mudardǎs manuśen."
Acts_3_15,"Aţi omorât pe Domnul vieţii, pe care Dumnezeu L-a înviat din morţi; noi suntem martori ai Lui.","Mudarden Kodoles kaj del ʒivipen, ama o Del Les andar ol mule thaj ame sam martorǎ ke kadaja buki vi sas."
Acts_3_16,"Prin credinţa în Numele lui Isus, a întărit Numele Lui pe omul acesta, pe care-l vedeţi şi-l cunoaşteţi; credinţa în El a dat omului acestuia o tămăduire deplină, cum vedeţi cu toţii.","Vaś ke pakǎjlǎs and‑o Anav le Isusosqo, e zor le Anavesqi le Isusosqo sastǎrdǎs kadale manuśes saves tume dikhen les thaj prinʒaren les. O pakǎpen kaj avel katar o Isus dinǎs kadale manuśes sastipen, sar dikhen savorre."
Acts_3_17,"Şi acum, fraţilor, ştiu că din neştiinţă aţi făcut aşa, ca şi mai-marii voştri.","Thaj akana, thaj phenǎlen, ʒanav ke tume thaj tumare maj bare kerden kodola bukǎ ⌞le Isusosqe⌟, bi te ʒanen so kerenas."
Acts_3_18,"Dar Dumnezeu a împlinit astfel ce vestise mai înainte prin gura tuturor prorocilor Lui: că, adică, Hristosul Său va pătimi.","Ama o Del kadja kerdǎs sar phendǎs pande savorre prooroćǎ maj anglal, ke o bićhaldo Lesθar nakhela andar bare dukha."
Acts_3_19,"Pocăiţi-vă dar şi întoarceţi-vă la Dumnezeu, pentru ca să vi se şteargă păcatele, ca să vină de la Domnul vremurile de înviorare","Kadja ke mukhen tumen tumare thaj bolden tumen k‑o Del, kaś te khoslǒn tumare bezexa."
Acts_3_20,"şi să trimită pe Cel ce a fost rânduit mai dinainte pentru voi: pe Isus Hristos,",Atunći o Raj dela tumen nevi zor ʒi kana bićhalela le Hristosos saves alosardǎs Les maj anglal vaś tumenqe haj kadava si o Isus.
Acts_3_21,"pe care cerul trebuie să-L primească, până la vremurile aşezării din nou a tuturor lucrurilor – despre aceste vremuri a vorbit Dumnezeu prin gura tuturor sfinţilor Săi proroci din vechime.",Ama o Isus trebal te beśel and‑o ćeri ʒi kana savorre bukǎ ovena nevǎrde. Pala kadala dinǎs duma o Del pande Pesqe prooroćǎ sfincǎ bute berśença anglal.
